Time_s,Strain_microstrain,Temperature_C,Bragg_Wavelength_nm,Residual_nm,Damage_Class_4,Damage_Severity
0,0,0,1550.00600391459,0.00600391458770707,0,0
1,4.99991666708333,0.0249998958334635,1550.01385032441,0.00745086413382696,0,0
2,9.99933334666654,0.0499991666708333,1550.01500479107,0.00220648387324403,0,0
3,14.9977501012478,0.0749971875316404,1550.02454628933,0.00535036184752996,0,0
4,19.9946670933171,0.0999933334666654,1550.03726039559,0.0116686876189912,0,0
5,24.9895846353392,0.124986979573562,1550.04258669351,0.0106016578515476,0,0
6,29.9820032397223,0.149977501012478,1550.05605695425,0.0176816564232982,0,0
7,34.9714236687664,0.174964273021681,1550.05532801642,0.0105661344063409,0,0
8,39.9573469845864,0.199946670933171,1550.06950259048,0.018358414317162,0,0
9,44.9392745990055,0.224924070188301,1550.07696328094,0.0194417123272926,0,0
10,49.9167083234141,0.249895846353392,1550.09085272238,0.0269592741751031,0,0
11,54.8891504185874,0.274861375135339,1550.08553169426,0.0152724899491861,0,0
12,59.8561036444597,0.299820032397223,1550.10062196395,0.02400373703104,0,0
13,64.8170713098474,0.324771194173913,1550.10923738071,0.0262674740378518,0,0
14,69.7715573221182,0.349714236687664,1550.10560410899,0.0162904740303536,0,0
15,74.7190662367996,0.374648536363712,1550.13188927967,0.0362404757226726,0,0
16,79.659103307123,0.399573469845864,1550.1480209659,0.0460461592677712,0,0
17,84.591174533498,0.42448841401208,1550.14113011263,0.0328390756912969,0,0
18,89.5147867129121,0.449392745990055,1550.15203205049,0.0374351607344067,0,0
19,94.4294474882503,0.474285843172786,1550.15656873853,0.0356769775505902,0,0
20,99.3346653975306,0.499167083234141,1550.16909663651,0.0419215888836946,0,0
21,104.22994992305,0.524035844144412,1550.1735470102,0.0401008623832864,0,0
22,109.114811540435,0.548891504185874,1550.18319556977,0.043491108862266,0,0
23,113.988761767594,0.573733441968319,1550.20004014323,0.054090755708519,0,0
24,118.851313213567,0.598561036444597,1550.19594418016,0.0437638505867112,0,0
25,123.701979627261,0.623373666926138,1550.20551727452,0.0471205841162884,0,0
26,128.540275946078,0.648170713098474,1550.21621830912,0.0516204343581288,0,0
27,133.365718344416,0.672951555036742,1550.22412093095,0.053337642039154,0,0
28,138.177824282057,0.697715573221182,1550.240148889,0.0631965483307107,0,0
29,142.976112552418,0.722462148552632,1550.25126075407,0.0681563145750212,0,0
30,147.76010333067,0.747190662367996,1550.24434798845,0.0551089919497008,0,0
31,152.529318221722,0.771900496455717,1550.25415030618,0.058794881660112,0,0
32,157.283280308059,0.79659103307123,1550.26805551657,0.0666023783475769,0,0
33,162.021514197434,0.821261654952405,1550.27162805411,0.0640965000192162,0,0
34,166.743546070407,0.84591174533498,1550.29155435023,0.0779642597061358,0,0
35,171.448903727726,0.87054068796798,1550.29780751915,0.07817935124079,0,0
36,176.137116637545,0.895147867129121,1550.3004403031,0.0747950944568293,0,0
37,180.807715982481,0.919732667640206,1550.3084588251,0.0768181879218656,0,0
38,185.460234706491,0.944294474882503,1550.31192189704,0.0743080168934204,0,0
39,190.094207561581,0.96883267481211,1550.32538260321,0.0818182368580616,0,0
40,194.709171154325,0.993346653975306,1550.33512873858,0.0856372117301772,0,0
41,199.304663992211,1.01783579952389,1550.33810265083,0.0827078558362243,0,0
